Date,Open,High,Low,Close,Adj Close,Volume
2018-11-01,0.991857,0.999680,0.991857,0.992113,0.992113,0
2018-11-02,0.998104,1.003210,0.996155,0.998004,0.998004,0
2018-11-05,0.997476,0.997506,0.993305,0.997606,0.997606,0
2018-11-06,0.995619,0.997805,0.994550,0.995818,0.995818,0
2018-11-07,0.998692,1.005025,0.995144,0.998423,0.998423,0
2018-11-08,0.998403,0.999300,0.996572,0.998203,0.998203,0
2018-11-09,0.994332,0.995560,0.991670,0.994431,0.994431,0
2018-11-12,0.994431,0.994629,0.989580,0.994135,0.994135,0
2018-11-13,0.989805,0.991896,0.987479,0.989893,0.989893,0
2018-11-14,0.994194,0.994431,0.989795,0.994233,0.994233,0
2018-11-15,0.994065,0.996413,0.992457,0.994135,0.994135,0
2018-11-16,0.993128,0.999600,0.991513,0.993345,0.993345,0
2018-11-19,1.000530,1.007252,0.999350,1.000620,1.000620,0
2018-11-20,1.006917,1.009285,1.005096,1.007049,1.007049,0
2018-11-21,1.005318,1.007303,1.004510,1.005308,1.005308,0
2018-11-22,1.005935,1.007800,1.004470,1.005935,1.005935,0
2018-11-23,1.005733,1.006745,1.002074,1.005733,1.005733,0
2018-11-26,1.002738,1.004722,1.000741,1.002687,1.002687,0
2018-11-27,1.001803,1.002707,0.999780,1.001783,1.001783,0
2018-11-28,1.001803,1.002004,0.999500,1.001803,1.001803,0
2018-11-29,1.006745,1.008471,1.002577,1.007049,1.007049,0
2018-11-30,1.004006,1.005025,0.999790,1.004117,1.004117,0
2018-12-03,1.001422,1.003613,1.000520,1.001703,1.001703,0
2018-12-04,1.002004,1.007049,1.001833,1.002185,1.002185,0
2018-12-05,1.002627,1.003009,0.999340,1.002808,1.002808,0
2018-12-06,1.002939,1.010611,1.001041,1.002989,1.002989,0
2018-12-07,1.006917,1.009438,1.005743,1.006847,1.006847,0
2018-12-10,1.010560,1.013274,1.009510,1.010387,1.010387,0
2018-12-11,1.010816,1.013890,1.006482,1.010611,1.010611,0
2018-12-12,1.007151,1.008471,1.003714,1.006887,1.006887,0
2018-12-13,1.007272,1.008878,1.004702,1.007455,1.007455,0
2018-12-14,1.006451,1.006745,1.001743,1.006441,1.006441,0
2018-12-17,1.002446,1.008369,1.001873,1.002496,1.002496,0
2018-12-18,1.007557,1.010111,1.006462,1.007445,1.007445,0
2018-12-19,1.007861,1.009591,1.005965,1.007658,1.007658,0
2018-12-20,1.006097,1.013788,1.004853,1.006137,1.006137,0
2018-12-21,1.013212,1.014199,1.007171,1.013171,1.013171,0
2018-12-24,1.006340,1.013829,1.004924,1.006441,1.006441,0
2018-12-25,1.013993,1.020512,1.011531,1.014405,1.014405,0
2018-12-26,1.013788,1.014713,1.007293,1.014096,1.014096,0
2018-12-27,1.005621,1.015692,1.005520,1.005733,1.005733,0
2018-12-28,1.013069,1.021346,1.013069,1.013274,1.013274,0
2018-12-31,1.016560,1.017501,1.012863,1.016673,1.016673,0
2019-01-01,1.016766,1.019264,1.016570,1.016766,1.016766,0
2019-01-02,1.018537,1.021033,1.010867,1.018330,1.018330,0
2019-01-03,1.010959,1.015744,1.010336,1.011429,1.011429,0
2019-01-04,1.012904,1.015022,1.009408,1.013069,1.013069,0
2019-01-07,1.014435,1.021555,1.014435,1.014446,1.014446,0
2019-01-08,1.021148,1.021659,1.016953,1.021346,1.021346,0
2019-01-09,1.019690,1.027253,1.018641,1.019607,1.019607,0
2019-01-10,1.027961,1.029230,1.018029,1.026747,1.026747,0
2019-01-11,1.016487,1.018952,1.014775,1.016250,1.016250,0
2019-01-14,1.016539,1.020200,1.015857,1.016570,1.016570,0
2019-01-15,1.019368,1.020512,1.011245,1.019347,1.019347,0
2019-01-16,1.012802,1.013069,1.009255,1.012689,1.012689,0
2019-01-17,1.010203,1.010407,1.004712,1.010091,1.010091,0
2019-01-18,1.006158,1.007151,1.004187,1.006340,1.006340,0
2019-01-21,1.004631,1.005429,1.001342,1.004662,1.004662,0
2019-01-22,1.002707,1.004016,1.001472,1.002707,1.002707,0
2019-01-23,1.002898,1.005632,1.001081,1.003009,1.003009,0
2019-01-24,1.005621,1.006644,1.003452,1.005460,1.005460,0
2019-01-25,1.004319,1.007607,1.002667,1.004419,1.004419,0
2019-01-28,1.007496,1.009693,1.006806,1.007658,1.007658,0
2019-01-29,1.008471,1.009285,1.004773,1.008471,1.008471,0
2019-01-30,1.005369,1.005733,1.000580,1.005530,1.005530,0
2019-01-31,1.006401,1.009285,1.004904,1.006543,1.006543,0
2019-02-01,1.006239,1.007821,1.003835,1.006340,1.006340,0
2019-02-04,1.004490,1.005187,1.000640,1.004551,1.004551,0
2019-02-05,1.002094,1.002406,0.998084,1.002205,1.002205,0
2019-02-06,1.000160,1.001362,0.998502,1.000290,1.000290,0
2019-02-07,0.997715,0.999900,0.997168,0.997904,0.997904,0
2019-02-08,0.997616,1.000500,0.997287,0.997596,0.997596,0
2019-02-11,1.000660,1.000901,0.994708,1.000710,1.000710,0
2019-02-12,0.996115,0.996314,0.990982,0.996115,0.996115,0
2019-02-13,0.993937,0.995619,0.992073,0.993927,0.993927,0
2019-02-14,0.991277,0.994728,0.990432,0.991375,0.991375,0
2019-02-15,0.995124,0.995322,0.991208,0.995074,0.995074,0
2019-02-18,0.995718,0.997904,0.995183,0.995520,0.995520,0
2019-02-19,0.995619,0.999400,0.994046,0.995550,0.995550,0
2019-02-20,0.998612,1.001502,0.997994,0.998722,0.998722,0
2019-02-21,0.999730,1.000700,0.997785,1.000000,1.000000,0
2019-02-22,0.999151,1.001101,0.997795,0.999141,0.999141,0
2019-02-25,1.000100,1.001713,0.999141,1.000300,1.000300,0
2019-02-26,0.999760,1.000700,0.998203,0.999910,0.999910,0
2019-02-27,1.000180,1.003915,0.998981,1.000290,1.000290,0
2019-02-28,0.999500,1.007455,0.999121,0.999500,0.999500,0
2019-03-01,1.002908,1.003694,0.999211,1.002748,1.002748,0
2019-03-04,1.001603,1.001603,0.998094,1.001703,1.001703,0
2019-03-05,1.000941,1.001302,0.995322,1.001402,1.001402,0
2019-03-06,0.995619,0.996890,0.994471,0.995619,0.995619,0
2019-03-07,0.995917,0.996512,0.989394,0.995917,0.995917,0
2019-03-08,0.989208,0.993059,0.988396,0.989413,0.989413,0
2019-03-11,0.991876,0.992989,0.989090,0.992260,0.992260,0
2019-03-12,0.989864,0.993838,0.988973,0.989864,0.989864,0
2019-03-13,0.992556,0.995490,0.991719,0.992654,0.992654,0
2019-03-14,0.996969,0.997108,0.994985,0.996721,0.996721,0
2019-03-15,0.996472,0.998831,0.994896,0.996562,0.996562,0
2019-03-18,0.997904,1.000500,0.997606,0.997606,0.997606,0
2019-03-19,0.999001,1.001613,0.998712,0.999001,0.999001,0
2019-03-20,1.001091,1.003412,0.999101,1.001402,1.001402,0
2019-03-21,1.009285,1.009795,1.005743,1.009082,1.009082,0
2019-03-22,1.008125,1.008675,1.003039,1.008166,1.008166,0
2019-03-25,1.006239,1.008675,1.005116,1.006046,1.006046,0
2019-03-26,1.007709,1.008471,1.005015,1.007750,1.007750,0
2019-03-27,1.006229,1.009092,1.003492,1.006441,1.006441,0
2019-03-28,1.005278,1.005935,1.002868,1.005328,1.005328,0
2019-03-29,1.005086,1.005733,1.002677,1.005197,1.005197,0
2019-04-01,1.005126,1.006847,1.001191,1.005025,1.005025,0
2019-04-02,1.001001,1.001803,1.000050,1.000801,1.000801,0
2019-04-03,1.001904,1.004823,1.001312,1.001843,1.001843,0
2019-04-04,1.002748,1.002908,0.999740,1.002717,1.002717,0
2019-04-05,1.000200,1.000821,0.998891,1.000080,1.000080,0
2019-04-08,0.999960,1.002406,0.999720,1.000100,1.000100,0
2019-04-09,1.000831,1.002004,0.999201,1.000891,1.000891,0
2019-04-10,1.000230,1.000600,0.996810,1.000350,1.000350,0
2019-04-11,0.997675,0.999201,0.995431,0.997795,0.997795,0
2019-04-12,0.997088,1.000500,0.996711,0.997267,0.997267,0
2019-04-15,0.997576,0.999300,0.996095,0.997606,0.997606,0
2019-04-16,0.996314,0.996810,0.993118,0.996343,0.996343,0
2019-04-17,0.992290,0.993345,0.990177,0.992556,0.992556,0
2019-04-18,0.989472,0.990884,0.984737,0.989707,0.989707,0
2019-04-19,0.985309,0.987264,0.984999,0.985377,0.985377,0
2019-04-22,0.985902,0.985999,0.984320,0.985814,0.985814,0
2019-04-23,0.984814,0.984931,0.977622,0.984931,0.984931,0
2019-04-24,0.980219,0.983265,0.979451,0.980248,0.980248,0
2019-04-25,0.980104,0.981065,0.977756,0.980104,0.980104,0
2019-04-26,0.980681,0.981932,0.977861,0.980488,0.980488,0
2019-04-29,0.981017,0.982029,0.978962,0.981046,0.981046,0
2019-04-30,0.980863,0.983091,0.980210,0.981065,0.981065,0
2019-05-01,0.981171,0.986680,0.980642,0.981345,0.981345,0
2019-05-02,0.982849,0.983284,0.980133,0.982898,0.982898,0
2019-05-03,0.980902,0.983671,0.979269,0.981017,0.981017,0
2019-05-06,0.983903,0.985319,0.980758,0.983748,0.983748,0
2019-05-07,0.982936,0.984252,0.978024,0.983187,0.983187,0
2019-05-08,0.980806,0.983574,0.980681,0.980777,0.980777,0
2019-05-09,0.980037,0.987762,0.979528,0.980104,0.980104,0
2019-05-10,0.984766,0.990001,0.984475,0.985028,0.985028,0
2019-05-13,0.989707,0.995025,0.988856,0.989707,0.989707,0
2019-05-14,0.994540,0.994827,0.990904,0.994649,0.994649,0
2019-05-15,0.991375,0.994708,0.990923,0.991336,0.991336,0
2019-05-16,0.991886,0.992851,0.989609,0.991818,0.991818,0
2019-05-17,0.990197,0.991670,0.988113,0.990119,0.990119,0
2019-05-20,0.989452,0.992063,0.988093,0.989609,0.989609,0
2019-05-21,0.991572,0.991670,0.988328,0.991768,0.991768,0
2019-05-22,null,null,null,null,null,null
2019-05-23,0.991178,0.996413,0.990462,0.991061,0.991061,0
2019-05-24,0.997009,0.999101,0.995808,0.997108,0.997108,0
2019-05-27,0.998074,0.998702,0.994036,0.998233,0.998233,0
2019-05-28,0.996085,0.996612,0.991129,0.996066,0.996066,0
2019-05-29,0.993049,0.995124,0.991886,0.993118,0.993118,0
2019-05-30,0.991759,0.993147,0.990374,0.991768,0.991768,0
2019-05-31,0.993118,0.997208,0.993108,0.993147,0.993147,0
2019-06-03,1.000340,1.004722,1.000090,1.000470,1.000470,0
2019-06-04,1.007557,1.009999,1.004641,1.007760,1.007760,0
2019-06-05,1.007770,1.014662,1.007222,1.007587,1.007587,0
2019-06-06,1.005743,1.012146,1.004379,1.006137,1.006137,0
2019-06-07,1.008705,1.014302,1.005136,1.008980,1.008980,0
2019-06-10,1.010203,1.011020,1.008176,1.010203,1.010203,0
2019-06-11,1.010857,1.011020,1.006512,1.011225,1.011225,0
2019-06-12,1.007679,1.009693,1.004833,1.008065,1.008065,0
2019-06-13,1.005126,1.008268,1.004258,1.005328,1.005328,0
2019-06-14,1.006401,1.007557,1.000600,1.006543,1.006543,0
2019-06-17,1.001181,1.003049,1.000220,1.001202,1.001202,0
2019-06-18,1.001603,1.003613,0.998871,1.001352,1.001352,0
2019-06-19,0.999300,1.005066,0.998602,0.999310,0.999310,0
2019-06-20,1.007354,1.018890,1.007354,1.007354,1.007354,0
2019-06-21,1.019222,1.021670,1.016456,1.019316,1.019316,0
2019-06-24,1.024958,1.029909,1.022265,1.025220,1.025220,0
2019-06-25,1.028658,1.031630,1.023123,1.029018,1.029018,0
2019-06-26,1.025799,1.026378,1.022108,1.025830,1.025830,0
2019-06-27,1.023060,1.024328,1.018973,1.023133,1.023133,0
2019-06-28,1.023919,1.027021,1.023720,1.023908,1.023908,0
2019-07-01,1.020929,1.021764,1.013253,1.021033,1.021033,0
2019-07-02,1.012822,1.014487,1.011317,1.013171,1.013171,0
2019-07-03,1.014858,1.016880,1.012987,1.015022,1.015022,0
2019-07-04,1.014569,1.015744,1.013243,1.014610,1.014610,0
2019-07-05,1.015744,1.015744,1.007019,1.015517,1.015517,0
2019-07-08,1.008878,1.010509,1.005500,1.008878,1.008878,0
2019-07-09,1.005844,1.007963,1.005096,1.005945,1.005945,0
2019-07-10,1.006644,1.011531,1.005965,1.006451,1.006451,0
2019-07-11,1.012043,1.015641,1.010918,1.012248,1.012248,0
2019-07-12,1.009489,1.016642,1.009387,1.009591,1.009591,0
2019-07-15,1.015899,1.018703,1.014827,1.016260,1.016260,0
2019-07-16,1.015878,1.016787,1.010908,1.016157,1.016157,0
2019-07-17,1.012351,1.013407,1.009367,1.012156,1.012156,0
2019-07-18,1.013377,1.015723,1.011081,1.013582,1.013582,0
2019-07-19,1.017625,1.019472,1.015558,1.017667,1.017667,0
2019-07-22,1.017605,1.020096,1.016363,1.017460,1.017460,0
2019-07-23,1.017656,1.018226,1.015043,1.017915,1.017915,0
2019-07-24,1.014971,1.016508,1.012812,1.014837,1.014837,0
2019-07-25,1.015600,1.015950,1.009968,1.015558,1.015558,0
2019-07-26,1.009082,1.010305,1.006077,1.009102,1.009102,0
2019-07-29,1.006847,1.009285,1.006725,1.006745,1.006745,0
2019-07-30,1.008675,1.011122,1.007922,1.008471,1.008471,0
2019-07-31,1.010152,1.010918,1.008787,1.010407,1.010407,0
2019-08-01,1.005975,1.006593,1.002697,1.006239,1.006239,0
2019-08-02,1.010326,1.018434,1.009928,1.010030,1.010030,0
2019-08-05,1.017812,1.028817,1.017708,1.017812,1.017812,0
2019-08-06,1.030216,1.030609,1.021325,1.030269,1.030269,0
2019-08-07,1.024842,1.030418,1.020856,1.024874,1.024874,0
2019-08-08,1.025683,1.027010,1.022098,1.025957,1.025957,0
2019-08-09,1.026799,1.029654,1.025262,1.026768,1.026768,0
2019-08-12,1.029548,1.032951,1.025273,1.029421,1.029421,0
2019-08-13,1.031736,1.035186,1.024045,1.031747,1.031747,0
